% 1. Title: Boston Housing Data
% 
% 2. Sources:
%    (a) Origin:  This dataset was taken from the StatLib library which is
%                 maintained at Carnegie Mellon University.
%    (b) Creator:  Harrison, D. and Rubinfeld, D.L. 'Hedonic prices and the 
%                  demand for clean air', J. Environ. Economics & Management,
%                  vol.5, 81-102, 1978.
%    (c) Date: July 7, 1993
% 
% 3. Past Usage:
%    -   Used in Belsley, Kuh & Welsch, 'Regression diagnostics ...', Wiley, 
%        1980.   N.B. Various transformations are used in the table on
%        pages 244-261.
%     -  Quinlan,R. (1993). Combining Instance-Based and Model-Based Learning.
%        In Proceedings on the Tenth International Conference of Machine 
%        Learning, 236-243, University of Massachusetts, Amherst. Morgan
%        Kaufmann.
% 
% 4. Relevant Information:
% 
%    Concerns housing values in suburbs of Boston.
% 
% 5. Number of Instances: 506
% 
% 6. Number of Attributes: 13 continuous attributes (including "class"
%                          attribute "MEDV"), 1 binary-valued attribute.
% 
% 7. Attribute Information:
% 
%     1. CRIM      per capita crime rate by town
%     2. ZN        proportion of residential land zoned for lots over 
%                  25,000 sq.ft.
%     3. INDUS     proportion of non-retail business acres per town
%     4. CHAS      Charles River dummy variable (= 1 if tract bounds 
%                  river; 0 otherwise)
%     5. NOX       nitric oxides concentration (parts per 10 million)
%     6. RM        average number of rooms per dwelling
%     7. AGE       proportion of owner-occupied units built prior to 1940
%     8. DIS       weighted distances to five Boston employment centres
%     9. RAD       index of accessibility to radial highways
%     10. TAX      full-value property-tax rate per $10,000
%     11. PTRATIO  pupil-teacher ratio by town
%     12. B        1000(Bk - 0.63)^2 where Bk is the proportion of blacks 
%                  by town
%     13. LSTAT    % lower status of the population
%     14. MEDV     Median value of owner-occupied homes in $1000's
% 
% 8. Missing Attribute Values:  None.

@RELATION housing-test             

@ATTRIBUTE CRIM		REAL
@ATTRIBUTE ZN		REAL
@ATTRIBUTE INDUS	REAL
@ATTRIBUTE CHAS		{0,1}
@ATTRIBUTE NOX		REAL
@ATTRIBUTE RM		REAL
@ATTRIBUTE AGE		REAL
@ATTRIBUTE DIS		REAL
@ATTRIBUTE RAD		REAL
@ATTRIBUTE TAX		REAL
@ATTRIBUTE PTRATIO	REAL
@ATTRIBUTE B		REAL
@ATTRIBUTE LSTAT	REAL
@ATTRIBUTE MEDV		REAL


@DATA

0.02731, 0, 7.07, 0, 0.469, 6.421, 78.9, 4.9671, 2, 242, 17.8, 396.9, 9.14, 21.6
0.02729, 0, 7.07, 0, 0.469, 7.185, 61.1, 4.9671, 2, 242, 17.8, 392.83, 4.03, 34.7
0.03237, 0, 2.18, 0, 0.458, 6.998, 45.8, 6.0622, 3, 222, 18.7, 394.63, 2.94, 33.4
0.06905, 0, 2.18, 0, 0.458, 7.147, 54.2, 6.0622, 3, 222, 18.7, 396.9, 5.33, 36.2
0.02985, 0, 2.18, 0, 0.458, 6.43, 58.7, 6.0622, 3, 222, 18.7, 394.12, 5.21, 28.7
0.08829, 12.5, 7.87, 0, 0.524, 6.012, 66.6, 5.5605, 5, 311, 15.2, 395.6, 12.43, 22.9
0.14455, 12.5, 7.87, 0, 0.524, 6.172, 96.1, 5.9505, 5, 311, 15.2, 396.9, 19.15, 27.1
0.21124, 12.5, 7.87, 0, 0.524, 5.631, 100, 6.0821, 5, 311, 15.2, 386.63, 29.93, 16.5
0.17004, 12.5, 7.87, 0, 0.524, 6.004, 85.9, 6.5921, 5, 311, 15.2, 386.71, 17.1, 18.9
0.11747, 12.5, 7.87, 0, 0.524, 6.009, 82.9, 6.2267, 5, 311, 15.2, 396.9, 13.27, 18.9
0.09378, 12.5, 7.87, 0, 0.524, 5.889, 39, 5.4509, 5, 311, 15.2, 390.5, 15.71, 21.7
0.62976, 0, 8.14, 0, 0.538, 5.949, 61.8, 4.7075, 4, 307, 21, 396.9, 8.26, 20.4
0.63796, 0, 8.14, 0, 0.538, 6.096, 84.5, 4.4619, 4, 307, 21, 380.02, 10.26, 18.2
0.62739, 0, 8.14, 0, 0.538, 5.834, 56.5, 4.4986, 4, 307, 21, 395.62, 8.47, 19.9
1.05393, 0, 8.14, 0, 0.538, 5.935, 29.3, 4.4986, 4, 307, 21, 386.85, 6.58, 23.1
0.7842, 0, 8.14, 0, 0.538, 5.99, 81.7, 4.2579, 4, 307, 21, 386.75, 14.67, 17.5
0.80271, 0, 8.14, 0, 0.538, 5.456, 36.6, 3.7965, 4, 307, 21, 288.99, 11.69, 20.2
0.7258, 0, 8.14, 0, 0.538, 5.727, 69.5, 3.7965, 4, 307, 21, 390.95, 11.28, 18.2
0.85204, 0, 8.14, 0, 0.538, 5.965, 89.2, 4.0123, 4, 307, 21, 392.53, 13.83, 19.6
1.23247, 0, 8.14, 0, 0.538, 6.142, 91.7, 3.9769, 4, 307, 21, 396.9, 18.72, 15.2
0.98843, 0, 8.14, 0, 0.538, 5.813, 100, 4.0952, 4, 307, 21, 394.54, 19.88, 14.5
0.75026, 0, 8.14, 0, 0.538, 5.924, 94.1, 4.3996, 4, 307, 21, 394.33, 16.3, 15.6
0.84054, 0, 8.14, 0, 0.538, 5.599, 85.7, 4.4546, 4, 307, 21, 303.42, 16.51, 13.9
0.67191, 0, 8.14, 0, 0.538, 5.813, 90.3, 4.682, 4, 307, 21, 376.88, 14.81, 16.6
0.95577, 0, 8.14, 0, 0.538, 6.047, 88.8, 4.4534, 4, 307, 21, 306.38, 17.28, 14.8
0.77299, 0, 8.14, 0, 0.538, 6.495, 94.4, 4.4547, 4, 307, 21, 387.94, 12.8, 18.4
